# Vigil IOC: C2 and tracking domains
# Format: domain|threat_name|category
allerdigns.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alljazeera.co|201608_NSO_Group|c2
alltracker.org|AllTracker|c2
alltracker.org|AllTracker|tracking
almal-news.com|MobileTracker|tracking
almasryelyuom.com|2021_12_taking_action_against_surveillance_for_hire|c2
alog.umeng.com|Cocospy|c2
alospy.com|HelloSpy|tracking
alpineai.uk|2021_12_taking_action_against_surveillance_for_hire|c2
alraeeenews.com|2021_12_taking_action_against_surveillance_for_hire|c2
alraeesnews.net|2021_12_taking_action_against_surveillance_for_hire|c2
alter757.info|mSpy|c2
altsantiri.news|2021_12_taking_action_against_surveillance_for_hire|c2
alttaeb.info|2021_04_taking_action_against_hackers_in_palestine|c2
aly.bearclod.com|MobileTracker|tracking
alz.bearclod.com|MobileTracker|tracking
amanda-hart.website|2021_04_taking_action_against_hackers_in_palestine|c2
amazing.lab|2021_12_taking_action_against_surveillance_for_hire|c2
amazingvideoeditor.club|MobileTracker|tracking
ami0wned.com|MobileTracker|tracking
amiowned.com|MobileTracker|tracking
amon.android-monitor.ru|AndroidPolice|c2
amon.android-monitor.ru|AndroidPolice|tracking
amon1.android-monitor.ru|AndroidPolice|c2
amon1.android-monitor.ru|AndroidPolice|tracking
amyacunningham.us|2021_04_taking_action_against_hackers_in_palestine|c2
analytics.hahamobi.com|MobileTracker|tracking
analytics.localytics.com|MobileTracker|tracking
analytics.rayjump.com|MobileTracker|tracking
analytics.salmonads.com|MobileTracker|tracking
analytics.trackview.net|TrackView|c2
analyzeryandex.000webhostapp.com|2022_04_metas_adversarial_threat_report_q1|c2
anayurt.net|2021_03_taking_action_against_hackers_in_china|c2
anayurt.net|MobileTracker|tracking
ancienthistory.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
and.info-taxi.info|AndroidPolice|c2
and.retardrattle.website|MobileTracker|tracking
andmon.name|AndroidPolice|c2
andmon.name|AndroidPolice|tracking
androappstore.com|2021_11_action_against_hackers_in_pakistan_and_syria|c2
android-api.umobix.com|uMobix|c2
android-apk.android-monitor.ru|AndroidPolice|c2
android-apk.android-monitor.ru|AndroidPolice|tracking
android-apps.s3.amazonaws.com|OneSpy|distribution
android-apps.tech|2021_12_taking_action_against_surveillance_for_hire|c2
android-flash.com|201512_PackRAT|c2
android-monitor.ru|AndroidPolice|c2
android-monitor.ru|AndroidPolice|tracking
android-monitor1.android-monitor.ru|AndroidPolice|c2
android-monitor1.android-monitor.ru|AndroidPolice|tracking
android-police.android-monitor.ru|AndroidPolice|c2
android-police.android-monitor.ru|AndroidPolice|tracking
android-police.ru|AndroidPolice|c2
android-police.ru|AndroidPolice|tracking
android-quinoa-config-prod.sense360eng.com|MobileTracker|tracking
android.chyldmonitor.com|OneSpy|c2
android.spy24.app|Spy24|c2
android.spytoapp.com|SpyToApp|c2
android.viptrack.ro|VIPTrack|c2
android007.com|Android007|tracking
androidapk.biz|AndroidPolice|c2
androidapk.biz|AndroidPolice|tracking
androidlost.appspot.com|AndroidLost|c2
androidlost.com|AndroidLost|c2
androidlost.com|AndroidLost|tracking
androidlost.firebaseio.com|AndroidLost|c2
androidmonitor.com|AndroidMonitor|tracking
androidradio.life|MobileTracker|tracking
androidspy.info|XDSpy|tracking
anguaganslatast.com|MobileTracker|tracking
anitmationworldnews.com|202006_DarkBasin|c2
anmon.android-monitor.ru|AndroidPolice|c2
anmon.android-monitor.ru|AndroidPolice|tracking
anmon.name|AndroidPolice|c2
anmon.name|AndroidPolice|tracking
anmon.ru|AndroidPolice|c2
anmon.ru|AndroidPolice|tracking
anmon.su|AndroidPolice|c2
anmon.su|AndroidPolice|tracking
anmon1.android-monitor.ru|AndroidPolice|c2
anmon1.android-monitor.ru|AndroidPolice|tracking
anna-sanchez.online|2021_04_taking_action_against_hackers_in_palestine|c2
anonymous.browse.live|MobileTracker|tracking
anothershortnr.com|202006_DarkBasin|c2
ansa.ltd|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ansonwhitmore.live|2021_04_taking_action_against_hackers_in_palestine|c2
anti-corona.app|2021_11_action_against_hackers_in_pakistan_and_syria|c2
antifurtodroid.com|AntiFurtoDroid|tracking
antitheft-88554.firebaseio.com|AbsoluTrack|c2
antmoving.online|201909_MissingLink|c2
antranslaro.com|MobileTracker|tracking
aovivo.foxspy.com.br|EspiaoAndroid|c2
ap.chyldmonitor.com|OneSpy|tracking
ap.iprocam.xyz|MobileTracker|tracking
apd1.thunup.com|MobileTracker|tracking
apd1.warnlog.com|MobileTracker|tracking
api-apple-buy.com|2021_12_taking_action_against_surveillance_for_hire|c2
api-gateway.creatant.com|MobileTracker|tracking
api-gateway.franceverif.fr|MobileTracker|tracking
api-llm.prd.alva.xyz|MobileTracker|tracking
