# Vigil IOC: Malicious/stalkerware Android packages
# Format: package_name|threat_name|category
com.ddiutilities.monitor|HighsterMobile|stalkerware
com.deepwallpaper.hd.live|Deep Wallpaper-live,HD|spyware
com.dennisarmstrong.videolancervideomaker|Videolancer - Pro Video Maker|spyware
com.dev4playapps.whatsdeleted|TrackMyPhones|stalkerware
com.devspark.securityotp|SpySMS|stalkerware
com.devspark.securityotp|Unknown|stalkerware
com.dreammaker.phgridpip|PIP Collage Coco|spyware
com.dressing.charm.apps|Dress up Charming|spyware
com.droidwatcher|DroidWatcher|stalkerware
com.droidwatcher|Unknown|stalkerware
com.dromon|AndroidPolice|stalkerware
com.dromon|MonitorChecker|stalkerware
com.duiyun.cocospy.v2|Cocospy|stalkerware
com.duiyun.cocospy|Cocospy|stalkerware
com.duiyun.fonemonitor|Cocospy|stalkerware
com.duiyun.spyic|Cocospy|stalkerware
com.duiyun.spyine|Cocospy|stalkerware
com.duiyun.spyzie|Cocospy|stalkerware
com.dwyzb23xjiqpsn.zbqyuvfgtion|3 Patti King - India Rummy|spyware
com.dy.spyzie.v4|Cocospy|stalkerware
com.dypica.facepicture|Face Picture|spyware
com.dysfree.barcode.scanner|QR Barcode Scan|spyware
com.edgarmay.atecphotoeffect|Atec Sparkle Photo Editor 2022|spyware
com.editor.xinphoto|Enjoy Photo Editor|spyware
com.edmondatrentini.dingdingphotoeffect|Ding Ding Photo Effect Editor|spyware
com.elpatr.woac|AndroidPolice|stalkerware
com.elpatr.woac|Gpspy|stalkerware
com.epasufob.kybavfgt|Spyone|stalkerware
com.epbzrqcg.syzzkuqx|Spyone|stalkerware
com.epbzrqcg.syzzkuqx|Unknown|stalkerware
com.ernell.thht|AndroidPolice|stalkerware
com.ernell.thht|Gpspy|stalkerware
com.example.ghazi.sms|SpyAppGhazi|stalkerware
com.example.ghazi.sms|Unknown|stalkerware
com.example.hellospy|1TopSpy|stalkerware
com.example.hellospy|HelloSpy|stalkerware
com.example.lovespy.app|LoveSpy|stalkerware
com.example.lovespy.app|Unknown|stalkerware
com.example.openanotherapp|Spy24|stalkerware
com.example.reverseshell2|AndroRat|stalkerware
com.example.wosc.androidclient|CatWatchful|stalkerware
com.expto.akgarhwal.puzzlex|Art Photo Puzzle|spyware
com.eyezy.android|celSpy|stalkerware
com.eyezy.android|mSpy|stalkerware
com.eytewqrm.wvdkgmrl|Spyone|stalkerware
com.eytewqrm.wvdkgmrl|Unknown|stalkerware
com.fabiomancini.cartoonpainteffect|Cartoon Face Photo Editor|spyware
com.faceart.savetoon.cartoonedit|Savetoon Art - Face Cartoon|spyware
com.faceartoon.studioon|Facetoon Photo Art|spyware
com.fast.vpn.lifestyleb|Fast VPN Proxy|spyware
com.fb.ads.optimize|Ads Optimize|spyware
com.fb.metas.adsmanager|Ads Manager For Business|spyware
com.fbhpdsej.gnuebduy|AndroidPolice|stalkerware
com.fbhpdsej.gnuebduy|KidLogger|stalkerware
com.femimesusu.libapasopi|SpyApp|stalkerware
com.femimesusu.libapasopi|Unknown|stalkerware
com.fenced.ai|Fenced|stalkerware
com.fenced.ai|MobileSpyIo|stalkerware
com.fhekpqbq.otlzonjx|AndroidPolice|stalkerware
com.fhekpqbq.otlzonjx|TiSpy|stalkerware
com.fillartoon.toonphotos|Pica Artoon Face Editor|spyware
com.filmstrip.drawanima|Photo Layout Editor|spyware
com.filter.photoeditor|Instapic: Photo Editor Pro, Collage Maker|spyware
com.fimeruv.shapephotoeditor|Shape Photo Editor|spyware
com.fiwyl.sharephotomaker|Share Photo Maker|spyware
com.flnt.uck|Speedy Vpn Tunnel|spyware
com.floydhampton.moldishmansphotoeffect|Moldish - Men's Photo Editor|spyware
com.flyspeed.fish|FlyFish Speed|spyware
com.fone|Copy9|stalkerware
com.fone|TheTruthSpy|stalkerware
com.fonts.text.board|Stylist Fonts for Keyboard|spyware
com.fotspicass.makerpiccoa|PIP Editor Frame Photo|spyware
com.fp.backup|FlexiSpy|stalkerware
com.fqrs.qrscapp|Flash QRCode Scanner|spyware
